freq,fpm,rel,ref#,text type,value
6,0.2096726391568476,133.1,7,User,Unknown/NA user
172,6.010615655829632,140.2,7,User,Unknown/NA user
2728,95.33115993664671,126.4,7,User,General public
6126,214.0757645791414,140.2,7,User,Semi-expert
6214,217.15096328677518,72.3,7,User,Expert
115,4.018725583839579,116.8,7,Domain,2.2 Biology
129,4.507961741872224,30.9,7,Domain,2.9 Soil Sciences
143,4.997197899904868,87.3,7,Domain,3.4 Chemical Engineering
167,5.835888456532259,59.4,7,Domain,2.2.5 Molecular Biology
202,7.05897885161387,83.2,7,Domain,3.2.5 Environmental Engineering
260,9.085814363463397,80.9,7,Domain,3.2.4 Mining Engineering
283,9.889559480231311,60.4,7,Domain,3.5 Energy Engineering
285,9.95945035995026,76.8,7,Domain,2.1 Geography
308,10.763195476718177,40.9,7,Domain,3.2.2 Hydraulic Engineering
338,11.811558672502416,67.5,7,Domain,3.1 Marine Engineering
350,12.230903950816112,72.9,7,Domain,1 Environmental Protection
377,13.174430827021926,140.0,7,Domain,3.2.1 Transport and Infrastructure Engineering
397,13.873339624211416,69.0,7,Domain,2.6 Chemistry
414,14.467412101822486,56.6,7,Domain,2.5 Hydrology
465,16.24962953465569,89.3,7,Domain,3.5.1 Renewable Energy
513,17.92701064791047,159.2,7,Domain,3.2.5.1 Waste Management
591,20.65275495694949,181.4,7,Domain,2.2.3 Zoology
680,23.76289910444273,93.3,7,Domain,3.2.5.2 Water Treatment and Supply
725,25.335443898119085,80.7,7,Domain,3.2.5.3 Air Quality Management
730,25.51017109741646,67.5,7,Domain,3.3  Agricultural Engineering
741,25.89457093587068,136.7,7,Domain,2.8 Ecology
921,32.184750110576104,95.9,7,Domain,2.2.2 Botany
984,34.386312821723,90.8,7,Domain,2.4 Geology
997,34.84060353989618,37.0,7,Domain,2.10 Oceanography
2629,91.87156139055872,61.1,7,Domain,2.7.2 Climatology
2641,92.29090666887242,47.7,7,Domain,2.7.1 Meteorology
2731,95.43599625622514,103.6,7,Domain,0 General
3640,127.20140108848756,45.8,7,Domain,3.2.3 Coastal Engineering
65,2.2714535908658493,29.2,7,Domain,1.1 Environmental Law
42,1.4677084740979334,333.1,7,Domain,1.2 Environmental Education
20,0.698908797189492,91.2,7,Domain,2.2.4 Microbiology
6,0.2096726391568476,133.1,7,Editor,Unknown/NA editor
695,24.28708070233485,109.6,7,Editor,Unknown/NA editor
786,27.467115729547036,130.7,7,Editor,Other
943,32.95354978748455,82.6,7,Editor,Government
5310,185.56028565381013,104.7,7,Editor,Business/NGO
7506,262.30047158521637,96.4,7,Editor,Academic/Research/Educational
3,0.1048363195784238,26.9,7,Genre,Patent
6,0.2096726391568476,133.1,7,Genre,Unknown/NA genre
11,0.3843998384542206,38.4,7,Genre,Law
