ws,text type,value,word,frq,fpm
is a type of,Domain,2.8.1 Human Ecology,nitrate,19,0.6639633573300174
is a type of,Domain,2.8.1 Human Ecology,sulfate,19,0.6639633573300174
is a type of,Domain,2.8.1 Human Ecology,carbon,9,0.3145089587352714
is a type of,Domain,2.8.1 Human Ecology,CO2,8,0.27956351887579683
is a type of,Domain,2.8.1 Human Ecology,sewagetreatment,8,0.27956351887579683
is a type of,Domain,2.8.1 Human Ecology,plant,8,0.27956351887579683
is a type of,Domain,2.8.1 Human Ecology,Â,7,0.2446180790163222
is a type of,Domain,2.8.1 Human Ecology,atmosphere,6,0.2096726391568476
is a type of,Domain,2.8.1 Human Ecology,methane,6,0.2096726391568476
is a type of,Domain,2.8.1 Human Ecology,dioxide,6,0.2096726391568476
is a type of,Domain,2.8.1 Human Ecology,sense,5,0.174727199297373
is a type of,Domain,2.8.1 Human Ecology,mango,4,0.13978175943789842
is a type of,Domain,2.8.1 Human Ecology,area,4,0.13978175943789842
is a type of,Domain,2.8.1 Human Ecology,system,4,0.13978175943789842
is a type of,Domain,2.8.1 Human Ecology,basin,4,0.13978175943789842
is a type of,Domain,2.8.1 Human Ecology,water,4,0.13978175943789842
is a type of,Domain,2.8.1 Human Ecology,citrus,4,0.13978175943789842
is a type of,Domain,2.8.1 Human Ecology,taro,4,0.13978175943789842
is a type of,Domain,2.8.1 Human Ecology,banana,4,0.13978175943789842
is a type of,Domain,2.8.1 Human Ecology,channel,3,0.1048363195784238
is a type of,Domain,2.8.1 Human Ecology,bifurcation,3,0.1048363195784238
is a type of,Domain,2.8.1 Human Ecology,displacement,3,0.1048363195784238
is a type of,Domain,2.8.1 Human Ecology,drainage,3,0.1048363195784238
is a type of,Domain,2.8.1 Human Ecology,infilling,3,0.1048363195784238
is a type of,Domain,2.8.1 Human Ecology,wave,3,0.1048363195784238
is a type of,Domain,2.8.1 Human Ecology,etc.,3,0.1048363195784238
is a type of,Domain,2.8.1 Human Ecology,flat,3,0.1048363195784238
is a type of,Domain,2.8.1 Human Ecology,fish,3,0.1048363195784238
is a type of,Domain,2.8.1 Human Ecology,rate,3,0.1048363195784238
is a type of,Domain,2.8.1 Human Ecology,habitat,3,0.1048363195784238
is a type of,Domain,2.8.1 Human Ecology,surface,2,0.06989087971894921
is a type of,Domain,2.8.1 Human Ecology,storm,2,0.06989087971894921
is a type of,Domain,2.8.1 Human Ecology,behavior,2,0.06989087971894921
is a type of,Domain,2.8.1 Human Ecology,reference,2,0.06989087971894921
is a type of,Domain,2.8.1 Human Ecology,height,2,0.06989087971894921
is a type of,Domain,2.8.1 Human Ecology,model,2,0.06989087971894921
is a type of,Domain,2.8.1 Human Ecology,flood,2,0.06989087971894921
is a type of,Domain,2.8.1 Human Ecology,effect,2,0.06989087971894921
is a type of,Domain,2.8.1 Human Ecology,stream,2,0.06989087971894921
is a type of,Domain,2.8.1 Human Ecology,crop,2,0.06989087971894921
is a type of,Domain,2.8.1 Human Ecology,andÂ,2,0.06989087971894921
is a type of,Domain,2.8.1 Human Ecology,MLW,2,0.06989087971894921
is a type of,Domain,2.8.1 Human Ecology,bean,2,0.06989087971894921
is a type of,Domain,2.8.1 Human Ecology,potato,2,0.06989087971894921
